Index,Text,Label
0_1,一场酣畅淋漓的大风全靠台风所赐过境之后月依然是夏季沿着湖边散步去面包坊买面包,0
0_2,台风摩羯的痕迹基本消失啦夏日限定绿道已回归下午点后的江边暑气逐渐消散微风吹过很舒适哦,0
0_3,昨晚的台风一晃而过傍晚出来跑步的时候已经看不见台风的痕迹了,0
0_4,今天看到台风预报好像已经过去了过两天来场酣畅淋漓的大雨最好许久没有饭后还能看到不是天黑的傍晚湖边散步吹点微风即使衣服有汗水也不觉得很热反而带点舒适,0
0_5,台风过后的两天去长风公园散了散步看到有很多被吹断的树枝堆在路两旁感到惋惜那天阳光很好光影斑驳很好看拍了很多照之前就有发过两条笔记,0
0_6,听说这次台风后长风公园马上就要闭园修整了不知道是全部关闭还是部分真的很喜欢这个公园啊加上挨着华师就更有感情了只能期待着下次再见吧,0
0_7,非常漂亮的公园可惜这次台风停了我也要搬走了估计以后也不会有机会再来了让我最后再看一眼台风后的公园,0
0_8,自从台风后已经很久没有看到如此盛大的凤凰花景象了一切都好了起来似乎都有了希望,0
0_9,台风过后一天我决定出门到附近小公园走走等雨来出门才发现依然烈日炎炎但是公园里鸟语花香耳旁是自由清新的风顿时拂去烦操疲惫,0
0_10,虽是台风刚过天气已然炎热难耐今天的天气预报说下午四点要下雨午后的气压变得极低令人心烦气躁～临近四点我决定出门到附近小公园走走等雨来,0
0_11,台风过境后的梧桐大道时值中秋带着一丝雨后秋凉没有金灿灿的阳光修饰翡翠般的色调散乱的绿叶倒也符合南京的另一面清冷却也温柔,0
0_12,台风后去爬山也是一种快乐在森林里散步下雨天爬山雨中徒步也是一种享受一起去山林去吸氧森林氧吧尽情呼吸,0
0_13,台风后想了想还是决定去了光福小七尖上午地上还没干摔了几下天气不错没有太阳有风一路上几乎没人只有快结束后有零散的散步的蛮累的走太久了,0
0_14,台风过后房间里超级闷热突然想去爬山台风后的果然安静我喜欢这样的氛围,0
0_15,台风后的夜晚美得让人屏息风停了雨歇了世界仿佛被重新洗刷过一般,0
0_16,台风过后天空像一块深蓝色的丝绒空气里带着泥土与草木的清香偶尔有微风拂过树叶上的雨滴轻轻滑落滴答——像夜的私语,0
0_17,这一刻世界安静得只剩下心跳与呼吸原来风雨之后的公园可以如此美丽,0
0_18,但这种雨后天气非常适合喝完咖啡然后在河边散散步人少又惬意,0
0_19,台风后的南宁天气突然暴晒又突然暴雨又突然停雨又突然暴雨而且每公里都不一样几次阻碍了我出门的脚步,0
0_20,天气预报报告这几天要来台风了傍晚的景色很是特别能见度很高,0
0_21,台风过后伤痕下的生机自然总是给我们以惊奇它就在那里不管是好的坏的等你发现就好,0
0_22,昨天看到有人说因为台风被困住家里无法出门散步我是不管不顾雨伞撑起照常要走一个来回除非雨特大或是闪电打雷刮台风才能阻止我,0
0_23,今晚的月色很美月亮又圆又亮还有点害羞时不时就躲到云朵里去了过了一会又露出来也许是过两天台风要来晚上出来公园散步还有挺大的风和白天的骄阳似火酷暑难耐相比稍微的有了一丝丝清凉月光很美花也开的很美享受此刻这短暂的宁静愿生活一片静好便是最大的快乐了,0
0_24,似乎受台风影响老家这边也下起了大雨明晚就要回中山了所以趁晚上点半停雨了就出门走走顺便偷偷吃个宵夜,0
0_25,今天好热可能是台风要来了饭后适合散步运动,0
0_26,不知是受台风将近所带来的体感闷热的影响亦或是激素使然近来心情郁闷听闻时常带七仔散步的场地有狗狗被药死震惊悲愤之余只能将七仔的狗狗牢牢拽紧剥夺其打卡点赞朋友圈的乐趣然后漠视七仔迷惑无辜的眼神机械性匆忙完成遛弯行程郁闷,0
0_27,中秋回家遇到了台风估计树倒了把电缆压坏了小区晚上停电于是八点就睡了凌晨醒过来发现有人叫我起床去看日出于是凌晨四点半爬起来去湿地公园看了日出不得不说贡湖湾湿地公园真的是日出最佳观景位了,0
0_28,我们去的那天台风刚走天空美到不像话就像爱情一样,0
0_29,台风过境后的天气也太美了,0
0_30,台风天后出大太阳了瞬间不emo了天气对人的影响还是很大啊———我永远爱三号线太美好了哪怕火车南站站内换乘很久我也愿意过去,0
0_31,安西路一个又老又古早的地铁站超美两边都映衬着绿色周末去上生新所和刘海粟美术馆逛了逛dream一个周末去共青玩耍台风天对公园的杀伤力也是极大的相信自然的自愈能力,0
0_32,台风来的刚走的几日在住处附近的海滩散步海水相比七年前暖了好几度短短一条海岸线碰到好几条被冲上岸的大鱼这在以前是从来没有过的空气中弥漫着湿热的腥臭味当时只觉得奇怪以前海滩上潮水退去会出现很多气孔现在却死一般的沉寂海边落日依旧美丽但心里却不太舒服这里缺少了生命,0
0_33,昨天晚上回来了台风对我和女儿来说是难忘的经历只是海口这回元气大伤,0
0_34,不知道台风的影响是不是过于漫长反复着下不完一场雨,0
0_35,等到了台风过境后的第二个晴天出外业汗如雨下的漫长白日用一个漂亮的晴天聊以慰藉,0
0_36,我将起诉台风过境后的海连下三天雨后终于晴了海边一看傻眼了黄色的是泥沙吗我是来到黄河了吗,0
0_37,台风后的天空非常的美同样带来了琉璃色的海洋,0
0_38,台风过后的蜈支洲岛,0
